Author,Publication Year,Short Title,DOI,Url,Technology Used,Infrastructure Type/Sector,Transportation Link,Resilience / Security Aspect,Key Insight/Gap
Rasheed O. Ajirotutu; Abiodun Benedict Adeyemi; Gil-Ozoudeh Ifechukwu; Tochi Chimaobi Ohakawa; Obinna Iwuanyanwu; Baalah Matthew Patrick Garba,2024,,10.3390/environsciproc2022015027,https://www.mdpi.com/2673-4931/15/1/27,AI + BIM,"Infrastructure development (design, construction, operations)",Yes (applies to transport infra too),"Smart design, sustainability, resilience",AI + BIM integration optimizes infrastructure development but faces integration & implementation challenges.
"., Obasi S.N; ., Tenebe V. A; ., Obasi C.C; ., Jokthan G.E; ., Adjei E.A; ., Keyagha E.R",2024,HARNESSING ARTIFICIAL INTELLIGENCE FOR SUSTAINABLE AGRICULTURE,10.30574/ijsra.2024.13.2.2421,https://ijsra.net/node/6918,"AI (precision farming, spatial analysis)",Agriculture (Africa),Indirect (food supply chains depend on transport),"Climate resilience, productivity, sustainability","AI-driven precision farming enhances yields & soil health, but socio-economic adoption barriers persist in Africa."
"Kong, Jude Dzevela; Akpudo, Ugochukwu Ejike; Effoduh, Jake Okechukwu; Bragazzi, Nicola Luigi",2023,,10.26480/bda.01.2024.01.13,https://bigdatainagriculture.com/paper/issue12024/1bda2024-01-13.pdf,AI + Big Data,Public & Global Health (Global South),"Indirect (health supply chains, emergency response)","Health system resilience, pandemic preparedness",AI & BDA can enhance resilience in resource-limited contexts but face ethical/regulatory challenges.
,,,10.3390/healthcare11040457,https://www.mdpi.com/2227-9032/11/4/457,AI + Renewable Energy,"Energy (Libya, solar & wind)",Indirect (energy reliability affects transport infra),"Reliability, cost efficiency, sustainability",AI can optimize renewable energy integration in weak grids; case study in Libya.
Oluwaseun Feyisayo Fadipe,2023,,,,AI + Indigenous Tech,"Traditional industries (Nigeria: pottery, leather, textiles, iron)","Indirect (logistics, trade, transport links)",Cultural & economic resilience,"Indigenous tech + AI can modernize industries, preserve culture, and foster sustainable growth."
"Obonyo, E A; Ouma, L A",2022,,10.5281/ZENODO.10002743,https://zenodo.org/doi/10.5281/zenodo.10002743,AI + IoT + Digital Twins + VR/AR,"Housing (low-income, East Africa, disaster risk)",Indirect (urban disaster resilience → affects transport infra),"Disaster risk reduction, flood resilience, recovery planning",Need for integrative AI-based knowledge-sharing platforms to coordinate disaster response.
"Deveci, Muhammet",2023,,10.1088/1755-1315/1101/9/092013,https://iopscience.iop.org/article/10.1088/1755-1315/1101/9/092013,AI (Fuzzy decision-making),"Supply Chain (Healthcare, Turkey)",Indirect (logistics chains link to transport),"Supply chain resilience, efficiency","AI adoption faces friction; key factors = gov’t support, trialability, tech intensity."
"Belhadi, Amine; Mani, Venkatesh; Kamble, Sachin S.; Khan, Syed Abdul Rehman; Verma, Surabhi",2024,Artificial intelligence-driven innovation for enhancing supply chain resilience and performance under the effect of supply chain dynamism,10.1007/s00500-023-08906-2,https://link.springer.com/10.1007/s00500-023-08906-2,AI (Info Processing Theory),Global supply chains (multi-sector),Indirect (logistics/transport critical),SCRes + performance,AI improves short-term supply chain performance but long-term value comes from resilience building.
"Usigbe, Member Joy; Asem-Hiablie, Senorpe; Uyeh, Daniel Dooyum; Iyiola, Olayinka; Park, Tusan; Mallipeddi, Rammohan",2023,,10.1007/s10479-021-03956-x,https://link.springer.com/10.1007/s10479-021-03956-x,AI + NLP + IoT + CSA,Agriculture (Global),Yes (transport logistics for food systems),"Climate-smart agriculture, food system resilience",AI boosts yield + sustainability; cumulative AI adoption better than fragmented tools.
"Ibeneme, Sunny; Okeibunor, Joseph; Muneene, Derrick; Husain, Ishrat; Bento, Pascoal; Gaju, Carol; Housseynou, Ba; Chibi, Moredreck; Karamagi, Humphrey; Makubalo, Lindiwe",2021,,10.1007/s10668-023-03588-0,https://link.springer.com/10.1007/s10668-023-03588-0,AI Platforms (digital health),Public health (Africa),Indirect (healthcare infra resilience),"Data-driven health resilience, emergency preparedness",Key = gov’t ownership + leadership for AI in health data ecosystems; scaling challenges.
"Abdulameer, Layth; Al-Khafaji, Mahmoud Saleh; Al-Awadi, Aysar Tuma; Al Maimuri, Najah M. L.; Al-Shammari, Musa; Al-Dujaili, Ahmed N.; DhiyaAl‑Jumeily",2025,Artificial Intelligence in Climate-Resilient Water Management,10.1186/s12919-021-00228-1,https://bmcproc.biomedcentral.com/articles/10.1186/s12919-021-00228-1,"AI (LSTM, hybrid physics-informed NN) + IoT",Water management (global),Indirect (water infra affects transport in floods/droughts),"Climate resilience, water security","AI improves forecasting (NSE > 0.90) but challenges = data inequity, black-box models, governance."
"Reichstein, Markus; Benson, Vitus; Blunk, Jan; Camps-Valls, Gustau; Creutzig, Felix; Fearnley, Carina J.; Han, Boran; Kornhuber, Kai; Rahaman, Nasim; Schölkopf, Bernhard; Tárraga, José María; Vinuesa, Ricardo; Dall, Karen; Denzler, Joachim; Frank, Dorothea; Martini, Giulia; Nganga, Naomi; Maddix, Danielle C.; Weldemariam, Kommy",2025,,10.1007/s41101-025-00371-2,https://link.springer.com/10.1007/s41101-025-00371-2,"AI + Climate Models (Causal AI, Geospatial FMs)",Early Warning Systems (multi-hazard),Yes (disaster impacts directly affect transport infra),"Climate adaptation, hazard prediction",AI-enhanced multi-hazard EWSs need FAIR + FATES principles; causal AI avoids spurious predictions.
"Sun, Li; Shawe-Taylor, John; D’Ayala, Dina",2022,,10.1038/s41467-025-57640-w,https://www.nature.com/articles/s41467-025-57640-w,ML + DNN (deep learning) + lookahead search,Road networks (post-earthquake),Direct (road network resilience),Post-hazard rapid response,"ML-guided lookahead searches improve rapid response planning in damaged road networks, outperforming heuristic-based approaches."
"Chester, Mikhail; Underwood, B. Shane; Allenby, Braden; Garcia, Margaret; Samaras, Constantine; Markolf, Samuel; Sanders, Kelly; Preston, Benjamin; Miller, Thaddeus R.",2021,,10.1038/s41598-022-19637-z,https://www.nature.com/articles/s41598-022-19637-z,Resilience theory + governance frameworks,Infrastructure systems (general),Indirect (all infra incl. transport),"Adaptation, agility, flexibility","Need to move beyond robustness to adaptive, transformative resilience in infrastructure governance and systems."
"Jain, Harshita; Dhupper, Renu; Shrivastava, Anamika; Kumar, Deepak; Kumari, Maya",2023,AI-enabled strategies for climate change adaptation,10.1038/s42949-021-00016-y,https://www.nature.com/articles/s42949-021-00016-y,AI (climate data analysis),"Climate change adaptation, multi-sector",Yes (infrastructure incl. transport),"Climate resilience, risk assessment","AI supports climate scenario simulation and risk assessment, but ethical transparency issues remain."
"Hosseini, Seyedeh Hamideh; Khodabin, Melika; Soroori Sarabi, Atefeh; Sharifipour Bgheshmi, Mohammad Sharif",2021,Artificial intelligence and disaster risk management,10.1007/s43762-023-00100-2,https://link.springer.com/10.1007/s43762-023-00100-2,AI + remote monitoring + big data,Disaster mitigation (climate hazards),"Yes (mobility, evacuation planning)","Early warning, disaster resilience",AI enables real-time disaster prediction and response; requires integrated data-sharing frameworks across governments & private actors.
"Snejana, Dineva",2022,,10.22034/soc.2021.219422,https://doi.org/10.22034/soc.2021.219422,AI + IoT + GIS + BIM,Geotechnical site characterization,Indirect (construction projects incl. transport infra),"Site safety, risk prediction, resilience",AI + IoT sensors improve subsurface monitoring; integration with BIM & GIS enhances project planning and resilience.
"Rane, Nitin; Choudhary, Saurabh; Rane, Jayesh",2023,,10.31586/rjees.2022.343,https://www.scipublications.com/journal/index.php/RJEES/article/view/343,AI + ML + Blockchain + IoT,Wastewater treatment systems,Indirect (water infra links to transport health & sustainability),"Water infrastructure resilience, efficiency","Integrated AI–IoT–Blockchain enhances monitoring, transparency, and adaptability in wastewater systems."
"Rane, Nitin; Choudhary, Saurabh; Rane, Jayesh",2023,,10.2139/ssrn.4640926,https://www.ssrn.com/abstract=4640926,Human-centric AI (probabilistic modeling),Food systems (global),"Indirect (food supply chains, logistics)",Food security resilience,"AI-based probabilistic reasoning improves forecasting of food affordability, availability, and resilience of natural resources."
"Vyas, Anshul",,,10.2139/ssrn.4641557,https://www.ssrn.com/abstract=4641557,AI–ML (urban adaptation),Urban infrastructure (global cities),Yes (urban transport & energy infra included),"Urban climate resilience, sustainable development",AI–ML helps climate adaptation in cities worldwide; emphasizes context-specific strategies and global knowledge-sharing.
"How, Meng-Leong; Chan, Yong Jiet; Cheah, Sin-Mei",2020,,,,AI in climate change mitigation (review),Climate adaptation programs,"Yes (infrastructure, disaster, mobility impacts)","Risk prediction, disaster preparedness","AI enhances forecasting of hazards and informs mitigation frameworks, but still fragmented across programs."
"Srivastava, Aman; Maity, Rajib",2023,,10.3390/su12156272,https://www.mdpi.com/2071-1050/12/15/6272,AI–ML (cross-continental analysis),Urban adaptation & sustainable development,Yes (urban infra & transport resilience),"Climate resilience, global adaptation strategies",Emphasizes tailored regional adaptation and international collaboration; one-size-fits-all approach is insufficient.
"Augoye, Oghenerume; Adewoyin, Adekunle; Adediwin, Olugbenga; Audu, Audu Joseph",2025,The Role of Artificial Intelligence in Energy Financing,10.3390/su152316461,https://www.mdpi.com/2071-1050/15/23/16461,AI + Blockchain + Smart Contracts,"Energy financing, green bonds",Indirect (energy infra linked to transport via sustainability),"Financial resilience, transparency, risk assessment","AI optimizes energy financing decisions and enhances climate-aligned investments, but faces data, cybersecurity, and bias challenges."
"Ukoba, Kingsley; Olatunji, Kehinde O.; Adeoye, Eyitayo; Jen, Tien-Chien; Madyira, Daniel M.",2024,Optimizing renewable energy systems through artificial intelligence,10.54660/.IJMRGE.2025.6.2.277-283,https://www.allmultidisciplinaryjournal.com/search?q=MGE-2025-2-068&search=search,AI + ML + Neural Networks + Optimization,"Renewable energy systems (RES), smart grids",Indirect (energy infra critical for transport electrification),"Grid resilience, forecasting, operational efficiency","AI improves RES integration into power grids, with potential for explainable AI, reinforcement learning, and edge computing."
"Ajayi Abisoye; Akerele, Joshua Idowu; Odio, Princess Eloho; Anuoluwapo Collins; Babatunde, Gideon Opeyemi; Damilola Mustapha",2025,,10.1177/0958305X241256293,https://journals.sagepub.com/doi/10.1177/0958305X241256293,AI + ML + XAI,"Critical infrastructure (power, transport, healthcare, ICS)",Direct (transport systems included under CI),"Cybersecurity resilience, anomaly detection","AI enhances cybersecurity of CI through intrusion detection and adaptive threat mitigation, but faces adversarial attacks & dataset gaps."
"Kwarkye, Thompson Gyedu",2025,“We know what we are doing”,10.13140/RG.2.2.14069.49120,https://rgdoi.net/10.13140/RG.2.2.14069.49120,AI policy frameworks + governance,AI policy development (Africa),Indirect (policies guide AI in transport & infra sectors),"Regulatory resilience, ethical adoption","Rwanda and Ghana case studies show how political, historical, and economic contexts shape AI adoption and resilience policies."
Odeyemi Olubusola; Noluthando Zamanjomane Mhlongo; Titilola Falaiye; Adeola Olusola Ajayi-Nifise; Ebere Rosita Daraojimba,2024,Digital transformation in business development,10.1080/00083968.2025.2456619,https://www.tandfonline.com/doi/full/10.1080/00083968.2025.2456619,"AI + digital transformation tools (data analytics, cloud computing)",Business infrastructure (USA vs Africa),Indirect (digital economy impacts transport/logistics too),"Digital resilience, competitiveness",Comparative review shows advanced U.S. adoption vs African adaptability under constraints; stresses context-specific transformation pathways.
Ajayi et al. (2024),2024,4IR Applications in the Transport Industry: Systematic Review of the State of the Art with Respect to Data Collection and Processing Mechanisms,10.30574/wjarr.2024.21.2.0443,https://wjarr.com/content/digital-transformation-business-development-comparative-review-usa-and-africa,"4IR technologies (AI, IoT, Big Data, Blockchain)",Transportation (general systems),Direct – focuses on transport networks,"Integration, scalability, standardization of 4IR data in transport","Gaps in standardized data collection & processing; need for scalable, interoperable approaches"
Ajayi et al. (2024),2024,Analysis of Road Roughness and Driver Comfort in ‘Long-Haul’ Road Transportation Using Random Forest Approach,10.3390/su16177514,https://www.mdpi.com/2071-1050/16/17/7514,"Random Forest, SVR, XGBoost, MIRANDA App (sensors)",Roads / Highway infrastructure,Direct – driver comfort in long-haul transport,"Road safety, driver comfort, fatigue reduction",Rough roads increase discomfort; Random Forest suitable for real-time prediction; need for proactive maintenance
Ajayi et al. (2025),2025,A Proactive Predictive Model for Machine Failure Forecasting,10.3390/s24186115,https://www.mdpi.com/1424-8220/24/18/6115,"Hybrid XGBoost + Neural Networks; SHAP, LIME","Industrial infrastructure (machines, predictive maintenance)",Indirect – transport via industrial reliability (supply chain impact),"Predictive maintenance, operational resilience",Hybrid model effective for detecting failures; issue of false positives; requires feature engineering & threshold tuning
Ajayi et al. (2025),2025,Comparative Analysis of Machine Learning Models for Evaluating the Impact of Speed Bumps on Travel Time and Fuel Consumption,10.3390/machines13080663,https://www.mdpi.com/2075-1702/13/8/663,"Random Forest regression, statistical tests",Roads (urban/local),Direct – fuel use & travel time,"Transport efficiency, fuel security",Speed bumps increase fuel consumption & travel time; ML predicts inefficiencies; need balance between safety and efficiency
,,,10.5281/ZENODO.15609119,https://zenodo.org/doi/10.5281/zenodo.15609119,,,,,
