Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
XHKT4QAB,journalArticle,2021,"Arfanuzzaman, Md.",Harnessing artificial intelligence and big data for SDGs and prosperous urban future in South Asia,Environmental and Sustainability Indicators,,26659727,10.1016/j.indic.2021.100127,https://linkinghub.elsevier.com/retrieve/pii/S2665972721000283,"Artificial intelligence (AI) and big data solutions are currently being utilized to offer low cost and efficient solutions in solving pressing urban socio-economic and environmental problems globally. The study found big data and AI have the potentiality to solve the common urban problems in South Asia and upsurge the efficiency of urban industries, increase competitiveness and productivity of the human and natural resources, reduce the cost of urban service delivery, and build climate resilience. The study has assessed the current AI and big data initiatives and technologies in mitigating the urban development challenges and their potentiality for scaling up in South Asian cities. The study also examined the latest innovations in AI and big data solutions for SDG monitoring and implementation in South Asia and their implication for transformational change. The study suggested that South Asia can harness the maximum benefit of AI and big data technologies by building big data and associated IT infrastructure, advancing research and innovations with regional cooperation, enhancing technological readiness, and eliminating week enabling conditions.",2021-09,8/26/2025 15:07,8/26/2025 15:07,8/26/2025 15:07,100127,,,11,,Environmental and Sustainability Indicators,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\WDVGAGCB\Arfanuzzaman - 2021 - Harnessing artificial intelligence and big data for SDGs and prosperous urban future in South Asia.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUJ3HY5A,journalArticle,2024,"Mienye, Ibomoiye Domor; Sun, Yanxia; Ileberi, Emmanuel",Artificial intelligence and sustainable development in Africa: A comprehensive review,Machine Learning with Applications,,26668270,10.1016/j.mlwa.2024.100591,https://linkinghub.elsevier.com/retrieve/pii/S2666827024000677,"Artificial Intelligence (AI) techniques are transforming various sectors and hold significant potential to advance sustainable development in Africa. However, their effective integration is constrained by region-specific challenges, limiting widespread deployment. This study reviews the current state of sustainable development in Africa, highlighting the role AI can play in driving progress across key sectors, including healthcare, agriculture, education, environmental protection, and infrastructure. The paper outlines the challenges hindering AI adoption and presents strategic approaches to address these obstacles, specifically targeting Africa’s socioeconomic and environmental needs. In addition, the study proposes a comprehensive framework for integrating AI into Africa’s sustainable development efforts, offering tailored AI-driven strategies that align with the continent’s unique context. This framework provides a valuable resource for AI researchers, policymakers, and practitioners working towards sustainable development in Africa.",2024-12,8/26/2025 15:07,8/26/2025 15:07,8/26/2025 15:07,100591,,,18,,Machine Learning with Applications,Artificial intelligence and sustainable development in Africa,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\RPC48IJP\Mienye et al. - 2024 - Artificial intelligence and sustainable development in Africa A comprehensive review.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCV5QWUU,journalArticle,2024,"Awogbemi, Omojola; Kallon, Daramy Vandi Von; Kumar, K. Sunil",Contributions of artificial intelligence and digitization in achieving clean and affordable energy,Intelligent Systems with Applications,,26673053,10.1016/j.iswa.2024.200389,https://linkinghub.elsevier.com/retrieve/pii/S2667305324000644,"Concerned by the continuous decline in the quality of life, poverty, environmental degradation, and escalated war and conflicts, the United Nations in 2015 instituted the 17 Sustainable Development Goals (SDGs) and 169 targets. Access to clean, modern, and affordable energy, also known as SDG 7, is one of the goals. Universal access to clean, modern, and affordable electricity is one of the metrics for measuring a good life as it fundamentally affects education, healthcare, food security, job creation, and other socioeconomic indices. To achieve this goal and targets, there has been increased traction in research, development, actionable plans, policies, and other activities by governments, the scientific community, environmentalists, development experts, and other stakeholders in achieving the goal. This review presents the various avenues by which AI and digitization can provide impetus to achieving SDG 7. The global trends in attaining clean electricity, clean cooking fuel, renewable energy, energy efficiency, and international public financial flows between 2005 and 2021 are reviewed while the contribution of AI and digitization towards meeting SDG 7 are highlighted. The study concludes that the deployment of AI and digitization into the energy sector will catalyze the attainment of SDG 7 by 2030, provided ethical issues, regulatory concerns, manpower shortage, and other shortcomings are effectively handled. The study recommends adequate infrastructural upgrades, modernization of data collection, storage, and analysis capabilities, improved awareness and education, professional development, collaborative innovation, and promotion of legal and ethical issues as ways of advancing universal access to energy by 2030. Going forward, more collaborations between academic and research institutions and energy producers will help produce experts and professionals to propel innovative deployment of digital technologies in the energy sector.",2024-06,8/26/2025 15:07,8/26/2025 15:07,8/26/2025 15:07,200389,,,22,,Intelligent Systems with Applications,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\6P4YTC94\Awogbemi et al. - 2024 - Contributions of artificial intelligence and digitization in achieving clean and affordable energy.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I6PN8AFA,journalArticle,2024,"Olawade, David B.; Wada, Ojima Z.; David-Olawade, Aanuoluwapo Clement; Fapohunda, Oluwaseun; Ige, Abimbola O.; Ling, Jonathan",Artificial intelligence potential for net zero sustainability: Current evidence and prospects,Next Sustainability,,29498236,10.1016/j.nxsust.2024.100041,https://linkinghub.elsevier.com/retrieve/pii/S2949823624000187,"This comprehensive review explores the nexus between AI and the pursuit of net-zero emissions, highlighting the potential of AI in driving sustainable development and combating climate change. The paper examines various threads within this field, including AI applications for net zero, AI-driven solutions and innovations, challenges and ethical considerations, opportunities for collaboration and partnerships, capacity building and education, policy and regulatory support, investment and funding, as well as scalability and replicability of AI solutions. Key findings emphasize the enabling role of AI in optimizing energy systems, enhancing climate modelling and prediction, improving sustainability in various sectors such as transportation, agriculture, and waste management, and enabling effective emissions monitoring and tracking. The review also highlights challenges related to data availability, quality, privacy, energy consumption, bias, fairness, human-AI collaboration, and governance. Opportunities for collaboration, capacity building, policy support, investment, and scalability are identified as key drivers for future research and implementation. Ultimately, this review underscores the transformative potential of AI in achieving a sustainable, net-zero future and provides insights for policymakers, researchers, and practitioners engaged in climate change mitigation and adaptation.",2024,8/26/2025 15:07,8/26/2025 15:07,8/26/2025 15:07,100041,,,4,,Next Sustainability,Artificial intelligence potential for net zero sustainability,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\762BJJD6\Olawade et al. - 2024 - Artificial intelligence potential for net zero sustainability Current evidence and prospects.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USZR9ZMR,journalArticle,2021,"Olaitan, Olutoyin O.; Issah, Moshood; Wayi, Ntombovuyo",A framework to test South Africa’s readiness for the fourth industrial revolution,SA Journal of Information Management,,"1560-683X, 2078-1865",10.4102/sajim.v23i1.1284,http://www.sajim.co.za/index.php/SAJIM/article/view/1284,"Background: The fourth industrial revolution (4IR) is being touted as having the capacity to lift South Africa out of the challenges of poverty, unemployment and inequitable distribution of wealth. However, the state of the country’s readiness for the enabling technologies of the 4IR is in question. Objective: This article sought to investigate South Africa’s state of readiness for the technologies that enable the 4IR. The article proposed a framework which can be used to measure the country’s level of preparedness and implement the necessary processes to move the country into the 4IR era. Method: A detailed analysis of literature was carried out on the current and futuristic technologies employed by developed countries as they moved towards the 4IR. The fit –viability and the task – technology theories were employed to propose a framework to government for measuring its state of readiness for the 4IR in South Africa. Results: Based on findings from the literature study, the article proposed the 4IR readiness framework for government to measure and subsequently plans its response to the advent of 4IR technologies in the country. Conclusion: The framework revealed that South Africa has low technological capability, plummeting economic complexity and a fall in digital technological readiness. There is also a dearth of skilled workforce and technological infrastructure. It was recommended that government should focus on building and strengthening the resilience of both public and private institutions, investment in relevant 4IR education, infrastructural improvement, and promulgation and enforcement of legal framework to ensure security and privacy of data.",5/18/2021,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,,,1,23,,SA Journal of Information Management,,,,,,,,en,https://creativecommons.org/licenses/by/4.0,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\4563MXCZ\Olaitan et al. - 2021 - A framework to test South Africa’s readiness for the fourth industrial revolution.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGECIR26,journalArticle,2024,Eche Samuel Okem; Tosin Daniel Iluyomade; Dorcas Oluwajuwonlo Akande,Revolutionizing U.S. Pavement Infrastructure: A pathway to sustainability and resilience through nanotechnology and AI Innovations,World Journal of Advanced Engineering Technology and Sciences,,25828266,10.30574/wjaets.2024.11.2.0124,https://wjaets.com/node/1178,"With a view to furthering sustainable and resilient infrastructure development, the paper starts a scholarly study of the application of nanotechnology and artificial intelligence (AI) in the framework of infrastructure projects in the U.S. Driven by the principle of interdisciplinary inquiry, the development of this study will seek to explain the merge of nanotechnology with AI to ensure the continuous innovations in the reliability, efficiency, and sustainability of infrastructural systems. This research critically applies a thematic analysis on scholarly literature and case studies to contextualize the themes that affirm the centrality of this integration – such as improvements on materials, predictive maintenance strategies and others.",4/30/2024,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,411-428,,2,11,,World J. Adv. Eng. Technol. Sci.,Revolutionizing U.S. Pavement Infrastructure,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\33ASCWD8\Eche Samuel Okem et al. - 2024 - Revolutionizing U.S. Pavement Infrastructure A pathway to sustainability and resilience through nan.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACQDPAUC,journalArticle,2021,Afees Olanrewaju Akinade; Peter Adeyemo Adepoju; Adebimpe Bolatito Ige; Adeoye Idowu Afolabi; Olukunle Oladipupo Amoo,A conceptual model for network security automation: Leveraging ai-driven frameworks to enhance multi-vendor infrastructure resilience,International Journal of Science and Technology Research Archive,,7996632,10.53771/ijstra.2021.1.1.0034,https://sciresjournals.com/ijstra/node/628,"The increasing complexity of multi-vendor network infrastructures presents significant challenges in maintaining robust security. Traditional network security approaches are often insufficient to address the dynamic and sophisticated nature of modern cyber threats. This study proposes a conceptual model for network security automation, leveraging Artificial Intelligence (AI)-driven frameworks to enhance resilience across multi-vendor environments. The model integrates advanced AI techniques, including machine learning, predictive analytics, and natural language processing, to automate threat detection, response, and prevention. A central feature of the proposed framework is its ability to harmonize security protocols and policies across diverse vendor systems, enabling seamless interoperability and real-time threat intelligence sharing. The model incorporates automated anomaly detection to identify irregular network behaviors and a risk-based decision-making engine to prioritize and mitigate threats proactively. By employing AI, the model ensures adaptive learning, allowing the system to evolve with emerging threats and changes in network architecture. Key components of the framework include a centralized security orchestration layer, vendor-agnostic APIs, and a unified dashboard for real-time monitoring and analytics. This approach enhances operational efficiency by reducing manual intervention, accelerating incident response times, and minimizing false positives. Furthermore, the model emphasizes compliance with industry standards and regulatory frameworks, providing organizations with a robust foundation for secure multi-vendor network management. Preliminary findings suggest that adopting this AIdriven security automation model significantly improves threat resilience, operational scalability, and resource optimization in complex network environments. The study concludes by highlighting the potential of such frameworks to redefine network security practices, offering a transformative approach to managing risks in increasingly interconnected and heterogeneous infrastructures.",9/30/2021,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,039-059,,1,1,,Int. J. Sci. Technol. Res. Arch,A conceptual model for network security automation,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\7HK9AE5A\Afees Olanrewaju Akinade et al. - 2021 - A conceptual model for network security automation Leveraging ai-driven frameworks to enhance multi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFTRG9TV,journalArticle,2023,"Okolo, Francess Chinyere; Etukudoh, Emmanuel Augustine; Ogunwole, Olufunmilayo; Osho, Grace Omotunde; Basiru, Joseph Ozigi",Advances in Cyber-Physical Resilience of Transportation Infrastructure in Emerging Economies and Coastal Regions,International Journal of Multidisciplinary Research and Growth Evaluation,,25827138,10.54660/.IJMRGE.2023.4.1.1188-1198,https://www.allmultidisciplinaryjournal.com/search?q=MGE-2025-2-334&search=search,"The increasing frequency of extreme weather events, urbanization, and rapid infrastructure development have highlighted the vulnerability of transportation systems in emerging economies and coastal regions. As these areas face unique challenges due to climate change, economic constraints, and limited infrastructure investment, ensuring the resilience of transportation infrastructure has become a critical priority. Advances in cyber-physical systems (CPS) provide innovative solutions for enhancing the resilience of transportation networks by integrating physical infrastructure with advanced information and communication technologies (ICT). This integration facilitates real-time monitoring, predictive maintenance, and adaptive response mechanisms, which are crucial for mitigating the impacts of disruptions such as natural disasters, aging infrastructure, and growing demand. The development and implementation of CPS-based strategies in emerging and coastal economies require a comprehensive approach, incorporating data-driven decisionmaking, risk management, and multi-disciplinary collaboration. Despite progress, challenges remain in terms of cost, scalability, and the need for localized solutions. This paper explores the latest advancements in cyber-physical resilience for transportation infrastructure, emphasizing case studies from emerging and coastal regions, and discusses the policy, technological, and social implications of these developments.",2023,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,1188-1198,,1,4,,IJMRGE,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\AQBNYVX7\Okolo et al. - 2023 - Advances in Cyber-Physical Resilience of Transportation Infrastructure in Emerging Economies and Coa.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDVRRHJG,bookSection,2015,,Southern University and Agricultural and Mechanical College,Graduate Study in Criminology and Criminal Justice,978-1-315-72160-6,,,https://www.taylorfrancis.com/books/9781317522492/chapters/10.4324/9781315721606-134,"This paper explores the transformative potential of Artificial Intelligence (AI) in strengthening economic resilience and fostering inclusive growth in Nigeria. The challenges hindering sustainable development, including governance inefficiencies, infrastructure deficits, and socioeconomic inequalities, highlight AI's critical role in addressing these barriers. AI-driven policy optimization offers innovative mechanisms to improve resource allocation, enhance economic diversification, and create equitable opportunities across sectors. The paper also identifies structural constraints, such as limited digital infrastructure and regulatory gaps, that impede the effective integration of AI solutions. It provides actionable policy recommendations to overcome these hurdles, including investing in digital infrastructure, developing an AI-ready workforce, and implementing robust regulatory frameworks. Future research directions emphasize localizing AI innovations, establishing evaluation mechanisms, and fostering collaborative efforts to ensure sustainable growth. This study underscores the need for deliberate and inclusive strategies to harness AI as a tool for socioeconomic transformation in Nigeria.",5/20/2015,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,273-274,,,,,,,,,,,Routledge,,en,,,,,DOI.org (Crossref),,DOI: 10.4324/9781315721606-134,,C:\Users\LATITUDE E7470\Zotero\storage\Z3UZJL2G\2015 - Southern University and Agricultural and Mechanical College.pdf,,,,,,,,,"Prior, Nicole",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPNYMLY,journalArticle,2024,"Aroba, Oluwasegun Julius; Rudolph, Michael",Systematic literature review on the application of precision agriculture using artificial intelligence by small-scale farmers in Africa and its societal impact,"Journal of Infrastructure, Policy and Development",,"2572-7931, 2572-7923",10.24294/jipd8872,https://systems.enpress-publisher.com/index.php/jipd/article/view/8872,"The economy, unemployment, and job creation of South Africa heavily depend on the growth of the agricultural sector. With a growing population of 60 million, there are approximately 4 million small-scale farmers (SSF) number, and about 36,000 commercial farmers which serve South Africa. The agricultural sector in South Africa faces challenges such as climate change, lack of access to infrastructure and training, high labour costs, limited access to modern technology, and resource constraints. Precision agriculture (PA) using AI can address many of these issues for small-scale farmers by improving access to technology, reducing production costs, enhancing skills and training, improving data management, and providing better irrigation infrastructure and transport access. However, there is a dearth of research on the application of precision agriculture using artificial intelligence (AI) by small scale farmers (SSF) in South Africa and Africa at large. The preferred reporting items for systematic reviews and meta-analyses (PRISMA) and Bibliometric analysis guidelines were used to investigate the adoption of precision agriculture and its socio-economic implications for small-scale farmers in South Africa or the systematic literature review (SLR) compared various challenges and the use of PA and AI for small-scale farmers. The incorporation of AIdriven PA offers a significant increase in productivity and efficiency. Through a detailed systematic review of existing literature from inception to date, this study examines 182 articles synthesized from two major databases (Scopus and Web of Science). The systematic review was conducted using the machine learning tool R Studio. The study analyzed the literature review articled identified, challenges, and potential societal impact of AI-driven precision agriculture.",11/8/2024,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,8872,,13,8,,J. Infras. Policy. Dev.,,,,,,,,en,https://creativecommons.org/licenses/by/4.0/,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\I6FWLCTB\Aroba and Rudolph - 2024 - Systematic literature review on the application of precision agriculture using artificial intelligen.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XU2QDQ3G,journalArticle,2023,Adebayo Olusegun Aderibigbe; Peter Efosa Ohenhen; Nwabueze Kelvin Nwaobia; Joachim Osheyor Gidiagba; Emmanuel Chigozie Ani,ARTIFICIAL INTELLIGENCE IN DEVELOPING COUNTRIES: BRIDGING THE GAP BETWEEN POTENTIAL AND IMPLEMENTATION,Computer Science & IT Research Journal,,"2709-0051, 2709-0043",10.51594/csitrj.v4i3.629,https://fepbl.com/index.php/csitrj/article/view/629,"This paper examines the role of Artificial Intelligence (AI) in developing countries, focusing on bridging the gap between its vast potential and effective implementation. As AI technologies advance globally, their impact on socio-economic development becomes increasingly critical, particularly in regions with diverse challenges and opportunities. The study investigates the current landscape of AI adoption in developing countries, analyzing the potential benefits, challenges, and ethical considerations. Through a comprehensive review of literature and case studies, the paper explores strategies and solutions for harnessing AI's transformative power in diverse sectors such as healthcare, agriculture, and education. The findings emphasize the importance of capacity building, public-private partnerships, and tailored policy frameworks to address infrastructure limitations and skill gaps. The research contributes to a nuanced understanding of the opportunities and complexities surrounding AI implementation in developing countries, providing insights for policymakers, practitioners, and scholars seeking to navigate this evolving technological landscape  Keywords: Artificial Intelligence; Global Connectivity; Emerging Technologies; Organizational Resilience; Sustainable Growth; Developing Country.",12/3/2023,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,185-199,,3,4,,Comput. sci. IT res. j.,ARTIFICIAL INTELLIGENCE IN DEVELOPING COUNTRIES,,,,,,,en,https://creativecommons.org/licenses/by-nc/4.0,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\TNVNECI3\Adebayo Olusegun Aderibigbe et al. - 2023 - ARTIFICIAL INTELLIGENCE IN DEVELOPING COUNTRIES BRIDGING THE GAP BETWEEN POTENTIAL AND IMPLEMENTATI.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URRZLKB6,journalArticle,2024,"Aryatwijuka, Dr Wilbroad; Mutebi, Assoc Prof Henry; Nagawa, Pamela; Tukamuhabwa, Assoc Prof Benjamin; Ssekajja, Samuel Mayanja; Kyomuhangi Diana; Akashabaluhanga, Allan",Artificial Intelligence and Humanitarian Supply Chain Resilience: Mediating Effect of Localized Logistics Capacity,European Journal of Technology,,2520-0712,10.47672/ejt.2449,https://ajpojournals.org/journals/index.php/EJT/article/view/2449,Purpose: The study examines the mediating effect of Localized logistics capacity on the association between Artificial intelligence and Humanitarian supply chain resilience among Humanitarian organizations.,9/26/2024,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,20-Jan,,5,8,,EJT,Artificial Intelligence and Humanitarian Supply Chain Resilience,,,,,,,en,http://creativecommons.org/licenses/by/4.0,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\DRMJ2AKP\Aryatwijuka et al. - 2024 - Artificial Intelligence and Humanitarian Supply Chain Resilience Mediating Effect of Localized Logi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2D25Q9,journalArticle,2024,"Mageto, Joash; Twinomurinzi, Hossana; Luke, Rose; Mhlongo, Siyabonga; Bwalya, Kelvin; Bvuma, Stella",Building resilience into smart mobility for urban cities: an emerging economy perspective,International Journal of Production Research,,"0020-7543, 1366-588X",10.1080/00207543.2022.2139866,https://www.tandfonline.com/doi/full/10.1080/00207543.2022.2139866,"Population growth in urban cities has created transport problems such as traffic congestion, pollution, accidents, and infrastructure failures. These problems often lead to disruption of mobility, especially in emerging economies. The goal of any city is to have a resilient transport system that is free from frequent and severe disruptions. Resilience can be incorporated into smart mobility systems to create a robust, integrated and intelligent transport system. Therefore, this study sought to determine resilience factors required for a resilient smart mobility system in emerging economies. The study used interpretive structural modelling (ISM) to establish the causal interrelationships among the factors drawing from data from experts in smart cities, city transport and academia. It was found that the most critical factor to drive resilience is foresight – the ability to anticipate disruptions. Three other resilience factor categories identified were dynamism, certainty and optimisation, which all point to the importance of building dynamic capabilities. The key implication for practice highlights the role that human and artificial intelligence can play in anticipating natural, social and infrastructure disruptions. ISM offered a mechanism to determine the critical causal resilience factors to be prioritised amongst the competing demands on the limited resources of emerging economies. Apart from foresight, which was found to be a driving factor, the other resilience factors are equally strong linkage factors (influence each other), thus further revealing the complexities that decisionmakers in urban cities of emerging economies constantly face. A research agenda for resilience in smart mobility in emerging economies was developed.",8/2/2024,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,5556-5573,,15,62,,International Journal of Production Research,Building resilience into smart mobility for urban cities,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\J4BMYK7X\Mageto et al. - 2024 - Building resilience into smart mobility for urban cities an emerging economy perspective.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWWIMEJP,journalArticle,2023,"Agbehadji, Israel Edem; Schütte, Stefanie; Masinde, Muthoni; Botai, Joel; Mabhaudhi, Tafadzwanashe",Climate Risks Resilience Development: A Bibliometric Analysis of Climate-Related Early Warning Systems in Southern Africa,Climate,,2225-1154,10.3390/cli12010003,https://www.mdpi.com/2225-1154/12/1/3,"Early warning systems (EWS) facilitate societies’ preparedness and effective response capabilities to climate risks. Climate risks embody hazards, exposure, and vulnerability associated with a particular geographical area. Building an effective EWS requires consideration of the factors above to help people with coping mechanisms. The objective of this paper is to propose an approach that can enhance EWSs and ensure an effective climate risk resilience development. The paper focuses on the Southern African Development Community (SADC) region and highlights the issues with EWS, identifying weaknesses and characteristics of EWS to help in climate risk adaptation strategies. The SADC region was chosen as the context because it is a climate variability and change hotspot with many vulnerable populations residing in rural communities. Trending themes on building climate risk resilience were uncovered through scientiﬁc mapping and network analysis of published articles from 2008 to 2022. This paper contributes to on-going research on building climate risks resilience through early warning systems to identify hidden trends and emerging technologies from articles in order to enhance the operationalization and design of EWS. This review provides insight into technological interventions for assessing climate risks to build preparedness and resilience. From the review analysis, it is determined that there exists a plethora of evidence to support the argument that involving communities in the co-designing of EWS would improve risk knowledge, anticipation, and preparedness. Additionally, Fourth Industrial Revolution (4IR) technologies provide effective tools to address existing EWS’ weaknesses, such as lack of real-time data collection and automation. However, 4IR technology is still at a nascent stage in EWS applications in Africa. Furthermore, policy across societies, institutions, and technology industries ought to be coordinated and integrated to develop a strategy toward implementing climate resilient-based EWS to facilitate the operations of disaster risk managers. The Social, Institutional, and Technology model can potentially increase communities’ resilience; therefore, it is recommended to develop EWS.",12/26/2023,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,3,,1,12,,Climate,Climate Risks Resilience Development,,,,,,,en,https://creativecommons.org/licenses/by/4.0/,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\RTMKS45R\Agbehadji et al. - 2023 - Climate Risks Resilience Development A Bibliometric Analysis of Climate-Related Early Warning Syste.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYMATH6F,journalArticle,2024,"Mu, Wenjuan; Kleter, Gijs A.; Bouzembrak, Yamine; Dupouy, Eleonora; Frewer, Lynn J.; Radwan Al Natour, Fadi Naser; Marvin, H. J. P.","Making food systems more resilient to food safety risks by including artificial intelligence, big data, and internet of things into food safety early warning and emerging risk identification tools",Comprehensive Reviews in Food Science and Food Safety,,"1541-4337, 1541-4337",10.1111/1541-4337.13296,https://ift.onlinelibrary.wiley.com/doi/10.1111/1541-4337.13296,"Abstract             To enhance the resilience of food systems to food safety risks, it is vitally important for national authorities and international organizations to be able to identify emerging food safety risks and to provide early warning signals in a timely manner. This review provides an overview of existing and experimental applications of artificial intelligence (AI), big data, and internet of things as part of early warning and emerging risk identification tools and methods in the food safety domain. There is an ongoing rapid development of systems fed by numerous, real‐time, and diverse data with the aim of early warning and identification of emerging food safety risks. The suitability of big data and AI to support such systems is illustrated by two cases in which climate change drives the emergence of risks, namely, harmful algal blooms affecting seafood and fungal growth and mycotoxin formation in crops. Automation and machine learning are crucial for the development of future real‐time food safety risk early warning systems. Although these developments increase the feasibility and effectiveness of prospective early warning and emerging risk identification tools, their implementation may prove challenging, particularly for low‐ and middle‐income countries due to low connectivity and data availability. It is advocated to overcome these challenges by improving the capability and capacity of national authorities, as well as by enhancing their collaboration with the private sector and international organizations.",2024-01,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,e13296,,1,23,,Comp Rev Food Sci Food Safe,,,,,,,,en,,,,,DOI.org (Crossref),,,,"C:\Users\LATITUDE E7470\Zotero\storage\V4PKUS6Y\Mu et al. - 2024 - Making food systems more resilient to food safety risks by including artificial intelligence, big da.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGJFR2JN,journalArticle,2023,"Mhlanga, David",Artificial Intelligence and Machine Learning for Energy Consumption and Production in Emerging Markets: A Review,Energies,,1996-1073,10.3390/en16020745,https://www.mdpi.com/1996-1073/16/2/745,"An increase in consumption and inefﬁciency, ﬂuctuating trends in demand and supply, and a lack of critical analytics for successful management are just some of the problems that the energy business throughout the world is currently facing. This study set out to assess the potential contributions that AI and ML technologies could make to the expansion of energy production in developing countries, where these issues are more pronounced because of the prevalence of numerous unauthorized connections to the electricity grid, where a large amount of energy is not being measured or paid for. This study primarily aims to address issues that arise due to frequent power outages and widespread lack of access to energy in a wide range of developing countries. Findings suggest that AI and ML have the potential to make major contributions to the ﬁelds of predictive turbine maintenance, energy consumption optimization, grid management, energy price prediction, and residential building energy demand and efﬁciency assessment. A discussion of what has to be done so that developing nations may reap the beneﬁts of artiﬁcial intelligence and machine learning in the energy sector concluded the paper.",1/9/2023,8/26/2025 15:08,8/26/2025 15:08,8/26/2025 15:08,745,,2,16,,Energies,Artificial Intelligence and Machine Learning for Energy Consumption and Production in Emerging Markets,,,,,,,en,https://creativecommons.org/licenses/by/4.0/,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\428ZBJ77\Mhlanga - 2023 - Artificial Intelligence and Machine Learning for Energy Consumption and Production in Emerging Marke.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
